SolIndex,Name ,Country,Lang,Yr,Round,Rank,Problem,Size,hr,min,sec,Rqmts,,LOC,eLOC,Preprocessor,Macros,Paren,Brace,Bracket,FunCnt,FunAvgELOC,FunAvgIntrfc,FunAvgCyc
48,Eryx,Poland,C++,2012,2,10,Aerobics,Large,1,59,18,,,122,110,39,29,177,22,36,10,6,1.9,2.8
49,Eryx,Poland,C++,2012,2,10,Mountain View,Small,1,41,31,,,126,113,39,29,177,24,30,9,9,2.11,3.22
50,Eryx,Poland,C++,2012,2,10,Mountain View,Large,1,45,9,,,128,115,39,29,179,24,35,9,7,2.11,3.33
51,Eryx,Poland,C++,2012,2,10,Descending in the Dark,Small,1,10,54,,,150,133,39,29,197,25,73,10,8.3,2.2,4.4
52,SnapDragon,Canada,C++,2012,Qual,19,Speaking in Tongues,Small,3,52,14,,,29,25,3,0,17,4,13,2,10,2,4.5
53,SnapDragon,Canada,C++,2012,Qual,19,Dancing With the Googlers,Small,4,0,33,,,18,14,1,0,10,5,0,1,12,1,5
54,SnapDragon,Canada,C++,2012,Qual,19,Dancing With the Googlers,Large,4,1,50,,,18,14,1,0,10,5,0,1,12,1,5
55,SnapDragon,Canada,C++,2012,Qual,19,Recycled Numbers,Small,4,10,8,,,18,15,1,0,7,4,0,1,13,1,7
56,SnapDragon,Canada,C++,2012,Qual,19,Recycled Numbers,Large,4,11,51,,,18,15,1,0,7,4,0,1,13,1,7
57,SnapDragon,Canada,C++,2012,Qual,19,Hall of Mirrors,Small,5,16,29,,,72,62,2,0,45,15,21,1,57,3,37
58,SnapDragon,Canada,C++,2012,Qual,19,Hall of Mirrors,Large,5,25,45,,,72,62,2,0,45,15,21,1,57,3,37
59,SnapDragon,Canada,C++,2012,1A,1,Password Problem,Small,0,14,32,,,18,15,2,0,13,3,3,1,11,1,4
60,SnapDragon,Canada,C++,2012,1A,1,Password Problem,Large,0,15,32,,,18,15,2,0,13,3,3,1,11,1,4
61,SnapDragon,Canada,C++,2012,1A,1,Kingdom Rush,Small,0,27,52,,,37,31,3,0,12,6,15,1,26,2,15
62,SnapDragon,Canada,C++,2012,1A,1,Kingdom Rush,Large,0,29,7,,,37,31,3,0,12,6,15,1,26,2,15
63,SnapDragon,Canada,C++,2012,1A,1,Cruise Control,Small,1,13,10,,,86,70,5,0,61,18,57,3,20,3.67,13.33
64,SnapDragon,Canada,C++,2012,1A,1,Cruise Control,Large,1,14,11,,,86,70,5,0,61,18,57,3,20,3.67,13.33
65,SnapDragon,Canada,C++,2012,2,19,Swinging Wild,Small,0,14,47,,,22,19,3,0,11,3,19,1,14,1,8
66,SnapDragon,Canada,C++,2012,2,19,Swinging Wild,Large,0,15,41,,,22,19,3,0,11,3,19,1,14,1,8
67,SnapDragon,Canada,C++,2012,2,19,Aerobics,Small,1,56,38,,,37,32,4,0,15,5,30,1,26,1,9
68,SnapDragon,Canada,C++,2012,2,19,Aerobics,Large,1,57,46,,,37,32,4,0,15,5,30,1,26,1,9
